datetime,open,high,low,close
2023-03-24,1993.995,2003.19495,1975.17505,1977.21716
2023-03-27,1977.66003,1979.89001,1943.67505,1956.55945
2023-03-28,1957.22998,1975.44995,1948.66003,1973.69275
2023-03-29,1972.81995,1974.63501,1958.62,1964.04041
2023-03-30,1962.57996,1984.40039,1955.4408,1980.25024
2023-03-31,1978.62,1987.84497,1966.89062,1967.90002
2023-04-03,1970.84497,1990.64001,1949.82288,1984.10571
2023-04-04,1984.59497,2025.18994,1977.01294,2019.97021
2023-04-05,2020.44006,2032.20496,2009.995,2020.35327
2023-04-06,2020.125,2021.625,2000.8772,2008.01636
2023-04-10,2008.29504,2011.17383,1981.59497,1989.65247
2023-04-11,1990.36499,2007.57971,1988.72095,2003.14087
2023-04-12,2003.66504,2028.39502,2001.17505,2014.67114
2023-04-13,2014.0,2048.84497,2012.44995,2039.73499
2023-04-14,2040.39502,2047.60034,1992.40674,2003.04004
2023-04-17,2001.84998,2015.13,1981.34497,1994.77112
2023-04-18,1995.19495,2011.97998,1991.32837,2004.92603
2023-04-19,2007.495,2008.33093,1969.27686,1993.26416
2023-04-20,1993.57996,2012.745,1990.48865,2004.33838
2023-04-21,2004.28503,2005.75,1971.64502,1982.89478
2023-04-24,1981.33997,1990.96997,1974.18506,1988.87573
2023-04-25,1991.44995,2003.90002,1976.14453,1997.87231
2023-04-26,2000.63,2009.51001,1983.42505,1989.47986
2023-04-27,1987.58496,2003.44995,1973.79504,1987.87024
2023-04-28,1986.75,1995.125,1976.08496,1989.64746
2023-05-01,1991.34497,2006.04504,1977.05005,1982.04529
2023-05-02,1982.81006,2019.53503,1978.38342,2016.27795
2023-05-03,2036.85999,2080.71997,2030.33997,2051.11011
2023-05-04,2036.86499,2073.29492,2030.34106,2051.1084
2023-05-05,2051.7251,2053.13208,1999.30005,2016.54285
2023-05-08,2015.94995,2029.625,2014.10498,2021.39001
2023-05-09,2022.23999,2037.70496,2019.5,2034.17004
2023-05-10,2034.19495,2048.21997,2021.57166,2029.51001
2023-05-11,2030.55505,2041.44495,2011.19495,2015.54993
2023-05-12,2015.19495,2022.56494,2001.04504,2011.15002
2023-05-15,2011.71997,2022.20325,2007.27588,2018.41003
2023-05-16,2015.89502,2018.94495,1985.47498,1988.60339
2023-05-17,1988.93994,1993.13354,1974.80005,1981.72217
2023-05-18,1981.51501,1986.12024,1951.96606,1958.05334
2023-05-19,1957.39502,1984.09497,1954.04993,1976.55505
2023-05-22,1977.79504,1982.65723,1968.40002,1969.43164
2023-05-23,1971.995,1977.79504,1954.28589,1974.72754
2023-05-24,1975.19495,1985.30005,1956.51379,1957.01135
2023-05-25,1958.1344,1964.94995,1938.86255,1940.33643
2023-05-26,1940.68994,1957.39502,1936.84497,1946.32507
2023-05-29,1944.09497,1949.74988,1940.29504,1942.83997
2023-05-30,1944.19495,1963.63281,1932.08191,1959.14453
2023-05-31,1959.29504,1975.34497,1953.6665,1962.30115
2023-06-01,1962.79504,1983.26501,1953.42725,1977.87512
2023-06-02,1978.13989,1983.51501,1947.6322,1947.6322
2023-06-05,1947.59497,1964.13049,1938.14465,1961.45276
2023-06-06,1962.10999,1966.84998,1954.0,1962.84753
2023-06-07,1963.59497,1970.26318,1939.63184,1939.63184
2023-06-08,1940.59497,1970.49756,1939.80591,1967.76147
2023-06-09,1968.09998,1973.09497,1956.72864,1960.59973
2023-06-12,1960.25,1967.54504,1948.80005,1956.92175
2023-06-13,1957.69495,1970.745,1939.995,1943.32849
2023-06-14,1943.495,1960.40503,1939.72546,1942.99036
2023-06-15,1943.44495,1960.34302,1925.29504,1957.65479
2023-06-16,1957.68005,1967.99878,1953.41943,1957.36255
2023-06-19,1957.995,1958.92505,1947.80005,1950.12
2023-06-20,1950.89502,1956.86865,1929.77014,1935.91394
2023-06-21,1935.42004,1939.54504,1919.34497,1932.26306
2023-06-22,1932.09497,1935.00232,1912.34497,1913.51599
2023-06-23,1913.79504,1937.09998,1910.245,1921.36316
2023-06-26,1924.29504,1933.47998,1921.59497,1922.85327
2023-06-27,1923.20996,1930.84998,1911.18506,1913.35254
2023-06-28,1913.59497,1917.23792,1902.84497,1907.42334
2023-06-29,1908.79504,1913.14844,1893.00964,1908.15247
2023-06-30,1908.53003,1922.89795,1900.55652,1919.56543
2023-07-03,1919.39502,1931.09497,1910.09998,1921.42847
2023-07-04,1921.78003,1930.83997,1919.89502,1925.08997
2023-07-05,1925.90002,1935.16504,1914.48254,1917.32239
2023-07-06,1916.04504,1927.68994,1902.67505,1910.79724
2023-07-07,1911.06995,1934.92004,1909.55579,1924.28247
2023-07-10,1925.19495,1928.31152,1912.67932,1924.99365
2023-07-11,1925.39502,1938.69495,1924.3988,1931.995
2023-07-12,1932.59497,1959.82227,1932.18237,1957.0885
2023-07-13,1957.43994,1963.69495,1952.71448,1960.19446
2023-07-14,1961.58496,1963.81482,1951.0,1954.92542
2023-07-17,1954.89502,1959.91003,1945.82446,1954.73547
2023-07-18,1954.59497,1984.39331,1954.44495,1978.71497
2023-07-19,1978.96997,1981.04504,1969.74731,1976.73572
2023-07-20,1976.79504,1987.59497,1965.40002,1969.62012
2023-07-21,1969.98999,1973.88879,1956.82495,1960.22729
2023-07-24,1962.09497,1967.97009,1953.4187,1954.51257
2023-07-25,1955.19995,1966.02991,1953.20764,1964.5824
2023-07-26,1964.995,1978.3147,1961.99451,1972.10315
2023-07-27,1972.07507,1982.245,1942.61047,1944.98621
2023-07-28,1944.27087,1963.70996,1944.27087,1959.20129
2023-07-31,1959.495,1972.44495,1951.0,1964.18835
2023-08-01,1965.09998,1966.245,1941.20496,1944.07935
2023-08-02,1945.745,1955.39502,1933.0,1933.56494
2023-08-03,1934.65503,1939.03003,1929.54504,1933.73694
